date,year,month,channel,channel_kr,sales
2025-01-01,2025,1,Offline,오프라인,909
2025-01-01,2025,1,Online,온라인,435
2025-02-01,2025,2,Offline,오프라인,999
2025-02-01,2025,2,Online,온라인,631
2025-03-01,2025,3,Offline,오프라인,953
2025-03-01,2025,3,Online,온라인,601
2025-04-01,2025,4,Offline,오프라인,1068
2025-04-01,2025,4,Online,온라인,653
2025-05-01,2025,5,Offline,오프라인,1343
2025-05-01,2025,5,Online,온라인,568
2025-06-01,2025,6,Offline,오프라인,1349
2025-06-01,2025,6,Online,온라인,562
2025-07-01,2025,7,Offline,오프라인,2503
2025-07-01,2025,7,Online,온라인,2037
2025-08-01,2025,8,Offline,오프라인,3428
2025-08-01,2025,8,Online,온라인,1370
2025-09-01,2025,9,Offline,오프라인,2539
2025-09-01,2025,9,Online,온라인,1233
2025-10-01,2025,10,Offline,오프라인,3123
2025-10-01,2025,10,Online,온라인,1346
2025-11-01,2025,11,Offline,오프라인,2512
2025-11-01,2025,11,Online,온라인,1267
2025-12-01,2025,12,Offline,오프라인,2665
2025-12-01,2025,12,Online,온라인,1484
