주차,연월,시작일,종료일,전체순위,시청시간_시간,시청횟수_회
1,Jun-25,2025-06-16,2025-06-22,2," 15,400,000 "," 9,200,000 "
2,Jun-25,2025-06-23,2025-06-29,1," 40,300,000 "," 24,200,000 "
3,Jun-25,2025-06-30,2025-07-06,2," 37,800,000 "," 22,700,000 "
4,Jul-25,2025-07-07,2025-07-13,1," 40,400,000 "," 24,200,000 "
5,Jul-25,2025-07-14,2025-07-20,1," 43,000,000 "," 25,800,000 "
6,Jul-25,2025-07-21,2025-07-27,2," 43,900,000 "," 26,300,000 "
7,Jul-25,2025-07-28,2025-08-03,2," 43,800,000 "," 26,300,000 "
8,Aug-25,2025-08-04,2025-08-10,2," 43,100,000 "," 25,900,000 "
9,Aug-25,2025-08-11,2025-08-17,1," 43,300,000 "," 26,000,000 "
10,Aug-25,2025-08-18,2025-08-24,1," 42,400,000 "," 25,400,000 "
11,Aug-25,2025-08-25,2025-08-31,1," 50,200,000 "," 30,100,000 "
12,Sep-25,2025-09-01,2025-09-07,2," 42,400,000 "," 25,400,000 "
13,Sep-25,2025-09-08,2025-09-14,1," 37,700,000 "," 22,600,000 "
14,Sep-25,2025-09-15,2025-09-21,2," 35,400,000 "," 21,200,000 "
15,Sep-25,2025-09-22,2025-09-28,1," 32,200,000 "," 19,300,000 "
16,Sep-25,2025-09-29,2025-10-05,1," 30,200,000 "," 18,100,000 "
17,Oct-25,2025-10-06,2025-10-12,2," 29,700,000 "," 17,800,000 "
18,Oct-25,2025-10-13,2025-10-19,3," 27,000,000 "," 16,200,000 "
19,Oct-25,2025-10-20,2025-10-26,3," 24,400,000 "," 14,600,000 "
20,Oct-25,2025-10-27,2025-11-02,2," 23,300,000 "," 14,000,000 "
21,Nov-25,2025-11-03,2025-11-09,2," 20,700,000 "," 12,400,000 "
22,Nov-25,2025-11-10,2025-11-16,3," 19,300,000 "," 11,600,000 "
23,Nov-25,2025-11-17,2025-11-23,5," 16,900,000 "," 10,100,000 "
24,Nov-25,2025-11-24,2025-11-30,3," 17,300,000 "," 10,400,000 "
25,Dec-25,2025-12-01,2025-12-07,4," 14,400,000 "," 8,600,000 "
26,Dec-25,2025-12-08,2025-12-14,5," 13,400,000 "," 8,000,000 "
27,Dec-25,2025-12-15,2025-12-21,4," 13,100,000 "," 7,900,000 "
28,Dec-25,2025-12-22,2025-12-28,4," 15,100,000 "," 9,100,000 "
29,Dec-25,2025-12-29,2026-01-04,3," 15,700,000 "," 9,400,000 "
30,Jan-26,2026-01-05,2026-01-11,4," 12,600,000 "," 7,600,000 "
