주차,시작일,종료일,전체순위,영어순위,시청시간_시간,시청횟수_회,누적시청시간,누적시청횟수
1,2025-06-16,2025-06-22,2,2," 15,400,000 "," 9,200,000 "," 15,400,000 "," 9,200,000 "
2,2025-06-23,2025-06-29,1,1," 40,300,000 "," 24,200,000 "," 55,700,000 "," 33,400,000 "
3,2025-06-30,2025-07-06,2,2," 37,800,000 "," 22,700,000 "," 93,500,000 "," 56,100,000 "
4,2025-07-07,2025-07-13,1,1," 40,400,000 "," 24,200,000 "," 133,900,000 "," 80,300,000 "
5,2025-07-14,2025-07-20,1,1," 43,000,000 "," 25,800,000 "," 176,900,000 "," 106,100,000 "
6,2025-07-21,2025-07-27,2,2," 43,900,000 "," 26,300,000 "," 220,800,000 "," 132,400,000 "
7,2025-07-28,2025-08-03,2,2," 43,800,000 "," 26,300,000 "," 264,600,000 "," 158,700,000 "
8,2025-08-04,2025-08-10,2,2," 43,100,000 "," 25,900,000 "," 307,700,000 "," 184,600,000 "
9,2025-08-11,2025-08-17,1,1," 43,300,000 "," 26,000,000 "," 351,000,000 "," 210,600,000 "
10,2025-08-18,2025-08-24,1,1," 42,400,000 "," 25,400,000 "," 393,400,000 "," 236,000,000 "
11,2025-08-25,2025-08-31,1,1," 50,200,000 "," 30,100,000 "," 443,600,000 "," 266,100,000 "
12,2025-09-01,2025-09-07,2,2," 42,400,000 "," 25,400,000 "," 486,000,000 "," 291,500,000 "
13,2025-09-08,2025-09-14,1,1," 37,700,000 "," 22,600,000 "," 523,700,000 "," 314,100,000 "
14,2025-09-15,2025-09-21,2,2," 35,400,000 "," 21,200,000 "," 559,100,000 "," 335,300,000 "
15,2025-09-22,2025-09-28,1,1," 32,200,000 "," 19,300,000 "," 591,300,000 "," 354,600,000 "
16,2025-09-29,2025-10-05,1,1," 30,200,000 "," 18,100,000 "," 621,500,000 "," 372,700,000 "
17,2025-10-06,2025-10-12,2,2," 29,700,000 "," 17,800,000 "," 651,200,000 "," 390,500,000 "
18,2025-10-13,2025-10-19,3,3," 27,000,000 "," 16,200,000 "," 678,200,000 "," 406,700,000 "
19,2025-10-20,2025-10-26,3,3," 24,400,000 "," 14,600,000 "," 702,600,000 "," 421,300,000 "
20,2025-10-27,2025-11-02,2,2," 23,300,000 "," 14,000,000 "," 725,900,000 "," 435,300,000 "
21,2025-11-03,2025-11-09,2,2," 20,700,000 "," 12,400,000 "," 746,600,000 "," 447,700,000 "
22,2025-11-10,2025-11-16,3,3," 19,300,000 "," 11,600,000 "," 765,900,000 "," 459,300,000 "
23,2025-11-17,2025-11-23,5,5," 16,900,000 "," 10,100,000 "," 782,800,000 "," 469,400,000 "
24,2025-11-24,2025-11-30,3,3," 17,300,000 "," 10,400,000 "," 800,100,000 "," 479,800,000 "
25,2025-12-01,2025-12-07,4,3," 14,400,000 "," 8,600,000 "," 814,500,000 "," 488,400,000 "
26,2025-12-08,2025-12-14,5,4," 13,400,000 "," 8,000,000 "," 827,900,000 "," 496,400,000 "
27,2025-12-15,2025-12-21,4,3," 13,100,000 "," 7,900,000 "," 841,000,000 "," 504,300,000 "
28,2025-12-22,2025-12-28,4,3," 15,100,000 "," 9,100,000 "," 856,100,000 "," 513,400,000 "
29,2025-12-29,2026-01-04,3,2," 15,700,000 "," 9,400,000 "," 871,800,000 "," 522,800,000 "
30,2026-01-05,2026-01-11,4,4," 12,600,000 "," 7,600,000 "," 884,400,000 "," 530,400,000 "
